timestamp,value,frequency_label,male_action_label
2900,13,AB,
2910,39,G,W
2920,13,AB,
2930,1,D,W
2940,0,D,W
2950,1,D,W
2960,17,AB,L
2970,11,AB,L
2980,12,AB,L
2990,36,G,W
3000,6,TA,L
3010,27,B,F
3020,59,G,W
3030,6,TA,
3040,51,G,W
3050,10,TA,L
3060,17,AB,L
3070,38,G,W
3080,52,G,W
3090,5,T,R
3100,33,B,F
3110,0,D,W
3120,18,AB,
3130,55,G,W
3140,58,G,W
3150,42,G,W
3160,34,G,W
3170,9,TA,L
3180,7,TA,L
3190,40,G,W
3200,59,G,W
3210,29,B,F
3220,43,G,W
3230,3,D,W
3240,38,G,W
3250,48,G,W
3260,51,G,W
3270,8,TA,
3280,38,G,W
3290,34,G,W
3300,42,G,W
3310,53,G,W
3320,47,G,W
3330,10,TA,
3340,53,G,W
3350,12,AB,L
3360,31,B,F
3370,50,G,W
3380,53,G,W
3390,47,G,W
3400,57,G,W
3410,28,B,F
3420,32,B,F
3430,49,G,W
3440,0,D,W
3450,53,G,W
3460,12,AB,
3470,47,G,W
3480,3,D,W
3490,53,G,W
3500,55,G,W
3510,56,G,W
3520,5,T,
3530,19,AB,L
3540,47,G,W
3550,55,G,W
3560,50,G,W
3570,13,AB,L
3580,18,AB,L
3590,4,T,
3600,42,G,W
3610,23,B,F
3620,15,AB,L
3630,14,AB,L
3640,0,D,W
3650,44,G,W
3660,46,G,W
3670,38,G,W
3680,0,D,W
3690,38,G,W
3700,17,AB,L
3710,19,AB,L
3720,20,AB,L
3730,1,D,W
3740,14,AB,L
3750,30,B,F
3760,14,AB,L
3770,29,B,F
3780,2,D,W
3790,29,B,F
3800,49,G,W
3810,33,B,F
3820,42,G,W
3830,3,D,W
3840,5,T,
3850,1,D,W
3860,1,D,W
3870,21,B,F
3880,5,T,R
3890,3,D,W
3900,60,G,W
3910,56,G,W
3920,53,G,W
3930,8,TA,L
3940,24,B,F
3950,11,AB,L
3960,35,G,W
3970,24,B,F
3980,25,B,F
3990,60,G,W
4000,37,G,W
4010,29,B,F
4020,47,G,W
4030,32,B,F
4040,21,B,F
4050,40,G,W
4060,25,B,F
4070,58,G,W
4080,47,G,W
4090,40,G,W
4100,0,D,W
4110,19,AB,
4120,54,G,W
4130,12,AB,L
4140,10,TA,L
4150,32,B,F
4160,39,G,W
4170,53,G,W
4180,35,G,W
4190,1,D,W
4200,44,G,W
4210,51,G,W
4220,35,G,W
4230,51,G,W
4240,7,TA,L
4250,15,AB,L
4260,30,B,F
4270,9,TA,L
4280,39,G,W
4290,57,G,W
4300,56,G,W
4310,31,B,F
4320,8,TA,L
4330,6,TA,L
4340,7,TA,L
4350,55,G,W
4360,25,B,F
4370,53,G,W
4380,53,G,W
4390,16,AB,
4400,54,G,W
4410,38,G,W
4420,27,B,F
4430,41,G,W
4440,38,G,W
4450,24,B,F
4460,33,B,F
4470,37,G,W
4480,33,B,F
4490,39,G,W
4500,0,D,W
4510,15,AB,
4520,0,D,W
4530,2,D,W
4540,41,G,W
4550,0,D,W
4560,27,B,F
4570,40,G,W
4580,14,AB,L
4590,4,T,R
4600,21,B,F
4610,44,G,W
4620,23,B,F
4630,57,G,W
4640,48,G,W
4650,24,B,F
4660,10,TA,L
4670,4,T,R
4680,36,G,W
4690,14,AB,
4700,54,G,W
4710,12,AB,
4720,42,G,W
4730,33,B,F
4740,51,G,W
4750,55,G,W
4760,25,B,F
4770,36,G,W
4780,3,D,W
4790,15,AB,
4800,1,D,W
4810,10,TA,
4820,45,G,W
4830,20,AB,L
4840,8,TA,L
4850,14,AB,L
4860,46,G,W
4870,30,B,F
4880,15,AB,L
4890,46,G,W
4900,27,B,F
4910,56,G,W
4920,41,G,W
4930,32,B,F
4940,9,TA,L
4950,54,G,W
4960,14,AB,L
4970,19,AB,L
4980,34,G,W
4990,32,B,F
5000,45,G,W
5010,11,AB,
5020,55,G,W
5030,0,D,W
5040,44,G,W
5050,54,G,W
5060,0,D,W
5070,7,TA,L
5080,25,B,F
5090,21,B,F
5100,56,G,W
5110,53,G,W
5120,3,D,W
5130,19,AB,L
5140,21,B,F
5150,36,G,W
5160,0,D,W
5170,6,TA,
5180,2,D,W
5190,23,B,F
5200,52,G,W
5210,19,AB,
5220,3,D,W
5230,48,G,W
5240,47,G,W
5250,50,G,W
5260,34,G,W
5270,24,B,F
5280,14,AB,L
5290,55,G,W
5300,28,B,F
5310,18,AB,L
5320,16,AB,L
5330,14,AB,L
5340,15,AB,L
5350,49,G,W
5360,45,G,W
5370,11,AB,
5380,1,D,W
5390,17,AB,
5400,39,G,W
5410,32,B,F
5420,59,G,W
5430,56,G,W
5440,19,AB,L
5450,9,TA,L
5460,9,TA,L
5470,15,AB,L
5480,17,AB,L
5490,11,AB,L
5500,9,TA,L
5510,4,T,R
5520,50,G,W
5530,13,AB,
5540,0,D,W
5550,5,T,
5560,50,G,W
5570,7,TA,
5580,43,G,W
5590,15,AB,L
5600,13,AB,L
5610,37,G,W
5620,41,G,W
5630,56,G,W
5640,0,D,W
5650,3,D,W
5660,20,AB,
5670,43,G,W
5680,28,B,F
5690,43,G,W
5700,5,T,
5710,46,G,W
5720,18,AB,
5730,1,D,W
5740,2,D,W
5750,52,G,W
5760,43,G,W
5770,42,G,W
5780,41,G,W
5790,51,G,W
5800,7,TA,L
5810,16,AB,L
5820,11,AB,L
5830,52,G,W
5840,5,T,
5850,57,G,W
5860,10,TA,
5870,37,G,W
5880,8,TA,L
5890,30,B,F
5900,18,AB,L
5910,14,AB,L
5920,31,B,F
5930,19,AB,L
5940,53,G,W
5950,8,TA,L
5960,6,TA,L
5970,60,G,W
5980,10,TA,
5990,45,G,W
6000,35,G,W
6010,42,G,W
6020,45,G,W
6030,9,TA,
6040,46,G,W
6050,33,B,F
6060,39,G,W
6070,13,AB,L
6080,27,B,F
6090,51,G,W
6100,30,B,F
6110,11,AB,L
6120,4,T,
6130,56,G,W
6140,48,G,W
6150,4,T,R
6160,31,B,F
6170,0,D,W
6180,4,T,
6190,39,G,W
6200,40,G,W
6210,32,B,F
6220,1,D,W
6230,46,G,W
6240,32,B,F
6250,14,AB,L
6260,2,D,W
6270,13,AB,L
6280,19,AB,L
6290,14,AB,L
6300,43,G,W
6310,22,B,F
6320,50,G,W
6330,8,TA,
6340,58,G,W
6350,51,G,W
6360,17,AB,
6370,42,G,W
6380,59,G,W
6390,55,G,W
6400,27,B,F
6410,3,D,W
6420,43,G,W
6430,31,B,F
6440,18,AB,L
6450,30,B,F
6460,39,G,W
6470,21,B,F
6480,12,AB,L
6490,9,TA,L
6500,10,TA,L
6510,13,AB,L
6520,39,G,W
6530,47,G,W
6540,28,B,F
6550,20,AB,L
6560,59,G,W
6570,52,G,W
6580,43,G,W
6590,40,G,W
6600,48,G,W
6610,22,B,F
6620,25,B,F
6630,15,AB,L
6640,56,G,W
6650,36,G,W
6660,26,B,F
6670,52,G,W
6680,48,G,W
6690,5,T,
6700,45,G,W
6710,2,D,W
6720,35,G,W
6730,19,AB,
6740,43,G,W
6750,25,B,F
6760,14,AB,L
6770,47,G,W
6780,6,TA,
6790,39,G,W
6800,45,G,W
6810,43,G,W
6820,1,D,W
6830,2,D,W
6840,54,G,W
6850,10,TA,
6860,59,G,W
6870,27,B,F
6880,37,G,W
6890,10,TA,L
6900,32,B,F
6910,14,AB,L
6920,32,B,F
6930,51,G,W
6940,59,G,W
6950,10,TA,L
6960,32,B,F
6970,59,G,W
6980,53,G,W
6990,22,B,F
7000,32,B,F
7010,35,G,W
7020,45,G,W
7030,22,B,F
7040,0,D,W
7050,17,AB,L
7060,4,T,R
7070,8,TA,L
7080,53,G,W
7090,40,G,W
7100,32,B,F
7110,21,B,F
7120,2,D,W
7130,49,G,W
7140,40,G,W
7150,53,G,W
7160,5,T,
7170,36,G,W
7180,44,G,W
7190,6,TA,L
7200,7,TA,L
7210,14,AB,L
7220,33,B,F
7230,24,B,F
7240,41,G,W
7250,31,B,F
7260,58,G,W
7270,4,T,R
7280,6,TA,L
7290,31,B,F
7300,26,B,F
7310,40,G,W
7320,47,G,W
7330,22,B,F
7340,4,T,R
7350,13,AB,L
7360,27,B,F
7370,38,G,W
7380,19,AB,
7390,52,G,W
7400,30,B,F
7410,6,TA,L
7420,15,AB,L
7430,1,D,W
7440,54,G,W
7450,12,AB,L
7460,21,B,F
7470,1,D,W
7480,52,G,W
7490,42,G,W
7500,40,G,W
7510,14,AB,L
7520,13,AB,L
7530,45,G,W
7540,6,TA,
7550,51,G,W
7560,34,G,W
7570,4,T,
7580,12,AB,L
7590,42,G,W
7600,51,G,W
7610,0,D,W
7620,49,G,W
7630,58,G,W
7640,51,G,W
7650,7,TA,L
7660,31,B,F
7670,44,G,W
7680,30,B,F
7690,25,B,F
7700,34,G,W
7710,52,G,W
7720,15,AB,
7730,56,G,W
7740,38,G,W
7750,14,AB,
7760,37,G,W
7770,46,G,W
7780,30,B,F
7790,33,B,F
7800,32,B,F
7810,50,G,W
7820,7,TA,
7830,41,G,W
7840,18,AB,L
7850,33,B,F
7860,33,B,F
7870,20,AB,L
7880,2,D,W
7890,54,G,W
7900,11,AB,L
7910,9,TA,L
7920,6,TA,L
7930,55,G,W
7940,23,B,F
7950,20,AB,L
7960,36,G,W
7970,48,G,W
7980,24,B,F
7990,42,G,W
8000,25,B,F
8010,60,G,W
8020,35,G,W
8030,51,G,W
8040,37,G,W
8050,46,G,W
8060,49,G,W
8070,33,B,F
8080,12,AB,L
8090,18,AB,L
8100,35,G,W
8110,15,AB,
8120,40,G,W
8130,38,G,W
8140,50,G,W
8150,60,G,W
8160,55,G,W
8170,42,G,W
8180,25,B,F
8190,3,D,W
8200,26,B,F
8210,6,TA,L
8220,40,G,W
8230,5,T,
8240,15,AB,L
8250,35,G,W
8260,17,AB,
8270,50,G,W
8280,15,AB,L
8290,18,AB,L
8300,11,AB,L
8310,41,G,W
8320,4,T,
8330,35,G,W
8340,12,AB,L
8350,17,AB,L
8360,28,B,F
8370,0,D,W
8380,32,B,F
8390,18,AB,L
8400,9,TA,L
8410,50,G,W
8420,34,G,W
8430,30,B,F
8440,52,G,W
8450,50,G,W
8460,52,G,W
8470,16,AB,L
8480,33,B,F
8490,55,G,W
8500,25,B,F
8510,38,G,W
8520,1,D,W
8530,25,B,F
8540,26,B,F
8550,13,AB,L
8560,13,AB,L
8570,31,B,F
8580,55,G,W
8590,2,D,W
8600,44,G,W
8610,28,B,F
8620,15,AB,L
8630,33,B,F
8640,33,B,F
8650,24,B,F
8660,45,G,W
8670,44,G,W
8680,2,D,W
8690,16,AB,
8700,50,G,W
8710,30,B,F
8720,49,G,W
8730,51,G,W
8740,52,G,W
8750,43,G,W
8760,16,AB,L
8770,13,AB,L
8780,6,TA,L
8790,58,G,W
8800,25,B,F
8810,0,D,W
8820,43,G,W
8830,20,AB,
8840,41,G,W
8850,4,T,R
8860,23,B,F
8870,6,TA,L
8880,35,G,W
8890,17,AB,L
8900,11,AB,L
8910,56,G,W
8920,14,AB,
8930,56,G,W
8940,19,AB,
8950,54,G,W
8960,44,G,W
8970,46,G,W
8980,47,G,W
8990,49,G,W
9000,52,G,W
9010,50,G,W
9020,16,AB,L
9030,25,B,F
9040,14,AB,L
9050,45,G,W
9060,15,AB,L
9070,5,T,
9080,20,AB,L
9090,20,AB,L
9100,7,TA,L
9110,35,G,W
9120,22,B,F
9130,27,B,F
9140,53,G,W
9150,54,G,W
9160,8,TA,
9170,39,G,W
9180,57,G,W
9190,56,G,W
9200,1,D,W
9210,1,D,W
9220,43,G,W
9230,16,AB,L
9240,22,B,F
9250,54,G,W
9260,17,AB,
9270,60,G,W
9280,1,D,W
9290,60,G,W
9300,34,G,W
9310,2,D,W
9320,15,AB,L
9330,10,TA,L
9340,51,G,W
9350,9,TA,L
9360,30,B,F
9370,48,G,W
9380,8,TA,L
9390,5,T,R
9400,45,G,W
9410,45,G,W
9420,10,TA,
9430,1,D,W
9440,58,G,W
9450,42,G,W
9460,28,B,F
9470,6,TA,L
9480,58,G,W
9490,42,G,W
9500,40,G,W
9510,14,AB,L
9520,26,B,F
9530,30,B,F
9540,9,TA,L
9550,29,B,F
9560,17,AB,L
9570,19,AB,L
9580,33,B,F
9590,35,G,W
9600,38,G,W
9610,46,G,W
9620,0,D,W
9630,7,TA,
9640,53,G,W
9650,17,AB,L
9660,13,AB,L
9670,18,AB,L
9680,29,B,F
9690,24,B,F
9700,0,D,W
9710,38,G,W
9720,4,T,
9730,47,G,W
9740,56,G,W
9750,40,G,W
9760,60,G,W
9770,14,AB,
9780,60,G,W
9790,8,TA,
9800,41,G,W
9810,32,B,F
9820,14,AB,L
9830,59,G,W
9840,32,B,F
9850,39,G,W
9860,28,B,F
9870,15,AB,L
9880,0,D,W
9890,39,G,W
9900,48,G,W
9910,40,G,W
9920,45,G,W
9930,49,G,W
9940,57,G,W
9950,41,G,W
9960,51,G,W
9970,32,B,F
9980,50,G,W
9990,51,G,W
10000,42,G,W
10010,36,G,W
10020,60,G,W
10030,7,TA,
10040,44,G,W
10050,30,B,F
10060,56,G,W
10070,59,G,W
10080,43,G,W
10090,3,D,W
10100,40,G,W
10110,43,G,W
10120,26,B,F
10130,1,D,W
10140,42,G,W
10150,34,G,W
10160,53,G,W
10170,38,G,W
10180,5,T,
10190,55,G,W
10200,58,G,W
10210,19,AB,
10220,39,G,W
10230,5,T,
10240,58,G,W
10250,12,AB,
10260,45,G,W
10270,7,TA,
10280,55,G,W
10290,39,G,W
10300,6,TA,L
10310,17,AB,L
10320,21,B,F
10330,56,G,W
10340,44,G,W
10350,32,B,F
10360,47,G,W
10370,7,TA,L
10380,24,B,F
10390,60,G,W
10400,22,B,F
10410,32,B,F
10420,56,G,W
10430,9,TA,L
10440,33,B,F
10450,32,B,F
10460,2,D,W
10470,17,AB,L
10480,20,AB,L
10490,16,AB,L
10500,45,G,W
10510,5,T,R
10520,28,B,F
10530,21,B,F
10540,20,AB,L
10550,11,AB,L
10560,35,G,W
10570,32,B,F
10580,9,TA,L
10590,31,B,F
10600,23,B,F
10610,30,B,F
10620,47,G,W
10630,33,B,F
10640,9,TA,L
10650,54,G,W
10660,22,B,F
10670,23,B,F
10680,19,AB,L
10690,27,B,F
10700,3,D,W
10710,33,B,F
10720,28,B,F
10730,32,B,F
10740,51,G,W
10750,9,TA,L
10760,25,B,F
10770,3,D,W
10780,56,G,W
10790,2,D,W
10800,8,TA,L
10810,8,TA,L
10820,54,G,W
10830,59,G,W
10840,15,AB,
10850,49,G,W
10860,12,AB,L
10870,25,B,F
10880,13,AB,L
10890,35,G,W
10900,17,AB,
10910,37,G,W
10920,33,B,F
10930,41,G,W
10940,39,G,W
10950,44,G,W
10960,50,G,W
10970,14,AB,
10980,41,G,W
10990,3,D,W
11000,34,G,W
11010,56,G,W
11020,38,G,W
11030,17,AB,
11040,1,D,W
11050,25,B,F
11060,23,B,F
11070,22,B,F
11080,17,AB,L
11090,60,G,W
11100,59,G,W
11110,14,AB,L
11120,15,AB,L
11130,7,TA,L
11140,1,D,W
11150,44,G,W
11160,27,B,F
11170,46,G,W
11180,42,G,W
11190,52,G,W
11200,46,G,W
11210,47,G,W
11220,22,B,F
11230,29,B,F
11240,55,G,W
11250,3,D,W
11260,48,G,W
11270,35,G,W
11280,2,D,W
11290,41,G,W
11300,33,B,F
11310,47,G,W
11320,46,G,W
11330,39,G,W
11340,56,G,W
11350,34,G,W
11360,51,G,W
11370,53,G,W
11380,8,TA,
11390,47,G,W
11400,45,G,W
11410,27,B,F
11420,53,G,W
11430,10,TA,
11440,39,G,W
11450,11,AB,L
11460,25,B,F
11470,34,G,W
11480,38,G,W
11490,56,G,W
11500,58,G,W
11510,13,AB,L
11520,6,TA,L
11530,49,G,W
11540,24,B,F
11550,49,G,W
11560,21,B,F
11570,18,AB,L
11580,56,G,W
11590,1,D,W
11600,58,G,W
11610,50,G,W
11620,39,G,W
11630,0,D,W
11640,14,AB,L
11650,22,B,F
11660,37,G,W
11670,16,AB,
11680,53,G,W
11690,11,AB,
11700,48,G,W
11710,46,G,W
11720,59,G,W
11730,18,AB,L
11740,11,AB,L
11750,39,G,W
11760,0,D,W
11770,26,B,F
11780,0,D,W
11790,4,T,
11800,37,G,W
11810,15,AB,
11820,46,G,W
11830,55,G,W
11840,12,AB,L
11850,22,B,F
11860,8,TA,L
11870,25,B,F
11880,30,B,F
11890,34,G,W
11900,28,B,F
11910,16,AB,L
11920,3,D,W
11930,10,TA,
11940,59,G,W
11950,47,G,W
11960,30,B,F
11970,12,AB,L
11980,31,B,F
11990,17,AB,L
12000,39,G,W
12010,45,G,W
12020,24,B,F
12030,28,B,F
12040,29,B,F
12050,3,D,W
12060,42,G,W
12070,14,AB,L
12080,9,TA,L
12090,23,B,F
12100,47,G,W
12110,16,AB,L
12120,30,B,F
12130,19,AB,L
12140,34,G,W
12150,53,G,W
12160,14,AB,
12170,42,G,W
12180,56,G,W
12190,20,AB,
12200,57,G,W
12210,17,AB,
12220,43,G,W
12230,52,G,W
12240,56,G,W
12250,29,B,F
12260,12,AB,L
12270,58,G,W
12280,4,T,
12290,48,G,W
12300,19,AB,
12310,37,G,W
12320,3,D,W
12330,23,B,F
12340,27,B,F
12350,42,G,W
12360,48,G,W
12370,48,G,W
12380,4,T,
12390,20,AB,L
12400,14,AB,L
12410,30,B,F
12420,41,G,W
12430,38,G,W
12440,56,G,W
12450,33,B,F
12460,6,TA,L
12470,46,G,W
12480,35,G,W
12490,52,G,W
12500,55,G,W
12510,23,B,F
12520,7,TA,L
12530,22,B,F
12540,29,B,F
12550,29,B,F
12560,21,B,F
12570,23,B,F
12580,55,G,W
12590,32,B,F
12600,30,B,F
12610,39,G,W
12620,16,AB,
12630,55,G,W
12640,21,B,F
12650,24,B,F
12660,33,B,F
12670,2,D,W
12680,22,B,F
12690,42,G,W
12700,50,G,W
12710,19,AB,L
12720,31,B,F
12730,53,G,W
12740,31,B,F
12750,2,D,W
12760,47,G,W
12770,24,B,F
12780,57,G,W
12790,12,AB,
12800,48,G,W
12810,28,B,F
12820,7,TA,L
12830,21,B,F
12840,1,D,W
12850,17,AB,
12860,57,G,W
12870,30,B,F
12880,3,D,W
12890,38,G,W
12900,44,G,W
12910,46,G,W
12920,2,D,W
12930,24,B,F
12940,9,TA,L
12950,24,B,F
12960,51,G,W
12970,1,D,W
12980,11,AB,L
12990,32,B,F
13000,38,G,W
13010,37,G,W
13020,60,G,W
13030,22,B,F
13040,19,AB,L
13050,43,G,W
13060,16,AB,
13070,56,G,W
13080,6,TA,L
13090,4,T,R
13100,10,TA,L
13110,10,TA,L
13120,46,G,W
13130,18,AB,L
13140,9,TA,L
13150,36,G,W
13160,49,G,W
13170,12,AB,L
13180,15,AB,L
13190,49,G,W
13200,29,B,F
13210,24,B,F
13220,17,AB,L
13230,56,G,W
13240,54,G,W
13250,42,G,W
13260,13,AB,
13270,59,G,W
13280,40,G,W
13290,15,AB,L
13300,25,B,F
13310,24,B,F
13320,56,G,W
13330,36,G,W
13340,46,G,W
13350,38,G,W
13360,22,B,F
13370,46,G,W
13380,28,B,F
13390,40,G,W
13400,14,AB,
13410,40,G,W
13420,0,D,W
13430,54,G,W
13440,28,B,F
13450,11,AB,L
13460,43,G,W
13470,41,G,W
13480,31,B,F
13490,38,G,W
13500,3,D,W
13510,16,AB,L
13520,11,AB,L
13530,29,B,F
13540,38,G,W
13550,2,D,W
13560,30,B,F
13570,38,G,W
13580,19,AB,
13590,44,G,W
13600,46,G,W
13610,13,AB,L
13620,8,TA,L
13630,16,AB,L
13640,18,AB,L
13650,50,G,W
13660,39,G,W
13670,56,G,W
13680,56,G,W
13690,9,TA,
13700,46,G,W
13710,27,B,F
13720,40,G,W
13730,55,G,W
13740,7,TA,
13750,54,G,W
13760,6,TA,L
13770,15,AB,L
13780,4,T,R
13790,22,B,F
13800,57,G,W
13810,60,G,W
13820,20,AB,
13830,45,G,W
13840,30,B,F
13850,58,G,W
13860,11,AB,L
13870,28,B,F
13880,14,AB,L
13890,51,G,W
13900,23,B,F
13910,36,G,W
13920,26,B,F
13930,27,B,F
13940,50,G,W
13950,30,B,F
13960,12,AB,L
13970,50,G,W
13980,48,G,W
13990,52,G,W
14000,36,G,W
14010,41,G,W
14020,22,B,F
14030,0,D,W
14040,15,AB,L
14050,11,AB,L
14060,47,G,W
14070,36,G,W
14080,40,G,W
14090,55,G,W
14100,23,B,F
14110,4,T,R
14120,26,B,F
14130,41,G,W
14140,39,G,W
14150,55,G,W
14160,1,D,W
14170,13,AB,
14180,56,G,W
14190,36,G,W
14200,3,D,W
14210,48,G,W
14220,14,AB,L
14230,27,B,F
14240,38,G,W
14250,5,T,
14260,12,AB,L
14270,21,B,F
14280,17,AB,L
14290,18,AB,L
14300,7,TA,L
14310,13,AB,L
14320,9,TA,L
14330,47,G,W
14340,9,TA,L
14350,29,B,F
14360,9,TA,L
14370,42,G,W
14380,60,G,W
14390,16,AB,L
14400,14,AB,L
14410,15,AB,L
14420,60,G,W
14430,43,G,W
14440,20,AB,L
14450,26,B,F
14460,38,G,W
14470,49,G,W
14480,46,G,W
14490,21,B,F
14500,50,G,W
14510,11,AB,
14520,47,G,W
14530,4,T,
14540,3,D,W
14550,23,B,F
14560,16,AB,L
14570,0,D,W
14580,25,B,F
14590,21,B,F
14600,43,G,W
14610,18,AB,L
14620,5,T,
14630,11,AB,L
14640,12,AB,L
14650,18,AB,L
14660,15,AB,L
14670,41,G,W
14680,22,B,F
14690,9,TA,L
14700,28,B,F
14710,29,B,F
14720,4,T,R
14730,27,B,F
14740,34,G,W
14750,23,B,F
14760,0,D,W
14770,33,B,F
14780,44,G,W
14790,15,AB,L
14800,33,B,F
14810,38,G,W
14820,1,D,W
14830,37,G,W
14840,32,B,F
14850,30,B,F
14860,14,AB,L
14870,37,G,W
14880,60,G,W
14890,35,G,W
14900,32,B,F
14910,45,G,W
14920,16,AB,L
14930,23,B,F
14940,25,B,F
14950,39,G,W
14960,49,G,W
14970,43,G,W
14980,6,TA,
14990,56,G,W
15000,12,AB,
15010,54,G,W
15020,46,G,W
15030,37,G,W
15040,6,TA,L
15050,11,AB,L
15060,19,AB,L
15070,35,G,W
15080,59,G,W
15090,50,G,W
15100,41,G,W
15110,16,AB,
15120,47,G,W
15130,41,G,W
15140,59,G,W
15150,37,G,W
15160,51,G,W
15170,4,T,
15180,1,D,W
15190,39,G,W
15200,27,B,F
15210,6,TA,L
15220,22,B,F
15230,27,B,F
15240,11,AB,L
15250,6,TA,L
15260,5,T,R
15270,13,AB,L
15280,7,TA,L
15290,31,B,F
15300,25,B,F
15310,59,G,W
15320,52,G,W
15330,31,B,F
